,0
0,-99.9956828752588
1,-99.8570765152941
2,-99.97246311744001
3,-99.99109594136632
4,-98.05570521146836
5,-99.1358560873219
6,-96.37282968826146
7,-99.9956828752588
8,-99.9857197583114
9,-97.16526179288299
10,-99.8760476992137
11,-95.06151816979109
12,-85.70623871017682
13,-86.02295666150737
14,-84.66906927974928
15,-84.96457807671317
16,-87.49560437466808
17,-76.77857579937702
18,-77.76344100041753
19,-58.78647154868815
20,-73.36627230613144
21,-50.3554599781475
22,-58.69283284408496
23,-52.85045671718674
24,-50.475250487646846
25,-51.10088184938464
26,-51.46221570116801
27,-51.42991764010007
28,-51.62476910265787
29,-49.406371009218944
30,-54.722132393612775
31,-54.257771927628234
32,-61.99966902722721
33,-57.148719644281435
34,-63.24799457084587
35,-57.69195320586993
36,-57.855840383232824
37,-58.508625026776855
38,-54.83539327359224
39,-54.848455502750454
40,-50.29660394762385
41,-52.232461304907275
42,-53.4046424066182
43,-58.48202358591109
44,-57.624726617568164
45,-55.91596926650569
46,-64.2052468659019
47,-59.177830924237384
48,-56.821775664832074
49,-55.969584188334565
50,-55.884199560568526
51,-58.15954395098333
52,-57.07473162816768
53,-58.876399987979376
54,-62.05857645763789
55,-60.01325695579235
56,-56.43651391805495
57,-58.079904648484735
58,-55.44858345522018
59,-51.93690831999598
