,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.7540329561232
3,-99.9956828752588
4,-99.98417479460906
5,-99.9956828752588
6,-99.9956828752588
7,-99.9956828752588
8,-99.9956828752588
9,-99.99534184355946
10,-99.46342035511928
11,-99.9956828752588
12,-95.3536810303014
13,-99.9956828752588
14,-90.83327745595075
15,-99.9956828752588
16,-99.9956828752588
17,-99.75901833299912
18,-97.19647495665895
19,-98.47825170210086
20,-97.10228301521944
21,-90.98973872732482
22,-87.74017174311157
23,-87.32736684310399
24,-97.8651146396992
25,-95.44510875282289
26,-80.86906100392494
27,-81.08829699662705
28,-69.08086581332743
29,-68.06011795103899
30,-65.31156811192609
31,-59.224067886894446
32,-57.910861558416194
33,-56.811757434835854
34,-60.16695559269189
35,-56.49381804004104
36,-54.72567511161018
37,-56.80003918374711
38,-53.07286335539048
39,-51.91761539602361
40,-73.96030390475329
41,-65.57998756836727
42,-55.74801785377225
43,-54.38322182646747
44,-56.18357545629365
45,-52.700847544948374
46,-52.25200899322429
47,-52.47008936237469
48,-53.97150155033265
49,-57.40142101991913
50,-53.48052879986851
51,-59.90711509274152
52,-55.2827905728731
53,-54.38541416136998
54,-54.64435479858718
55,-53.6790900192877
56,-53.832180789356464
57,-59.25042468146729
58,-56.807787322879385
59,-62.217803165071594
