,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.99442789064389
4,-99.98342752769429
5,-99.93794602276422
6,-99.9956828752588
7,-99.9956828752588
8,-99.9956828752588
9,-99.9956828752588
10,-99.9956828752588
11,-99.9956828752588
12,-99.9956828752588
13,-99.9956828752588
14,-99.99089621111241
15,-99.9956828752588
16,-99.9956828752588
17,-99.9956828752588
18,-99.9956828752588
19,-99.9956828752588
20,-99.9956828752588
21,-99.9956828752588
22,-99.99549565715199
23,-93.55737509649717
24,-99.9956828752588
25,-99.97614553355797
26,-99.97521411073343
27,-99.4233523538385
28,-99.07696393658864
29,-99.99417466114423
30,-99.99536646503074
31,-97.8151290697265
32,-98.05140044307024
33,-98.5612655560438
34,-88.13135270200154
35,-87.65394185494026
36,-95.79581761320792
37,-92.00340142810823
38,-93.35377794962517
39,-79.67137031167819
40,-76.93739842210756
41,-60.9682570297524
42,-65.84386770883194
43,-71.94530649199567
44,-67.85761755503023
45,-57.24528382158747
46,-55.68712592753134
47,-60.753752839472
48,-62.932568560279535
49,-71.16968620505558
50,-67.89314349875431
51,-63.784525316787715
52,-62.674259885536856
53,-68.15676611635448
54,-57.73594884273617
55,-62.11304590854599
56,-64.25400448216733
57,-54.85387183541091
58,-55.69629062822871
59,-56.91475500184819
