,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.9956828752588
7,-99.68551973610316
8,-99.87448596508712
9,-99.9714005991963
10,-99.99496380301971
11,-99.37752592239234
12,-98.97503641448937
13,-95.44788666030705
14,-91.35662596406226
15,-87.5619326914101
16,-90.64879393516722
17,-78.26183354196048
18,-89.06894679275081
19,-73.86332634221084
20,-74.25644845961945
21,-86.41228931516922
22,-77.06747872340998
23,-69.58476764998107
24,-73.63866615962942
25,-76.81809009861225
26,-79.91901281223969
27,-71.33610487604057
28,-76.50301972473284
29,-79.70783580986402
30,-71.9061943341471
31,-67.84639170346439
32,-77.05626327302082
33,-73.06535008453183
34,-64.07154252264856
35,-60.71385040365565
36,-62.088283138402105
37,-65.1689829103949
38,-65.22724466743543
39,-76.87723369813945
40,-69.62543499892382
41,-63.473492291500314
42,-66.12151405558366
43,-64.37018762845672
44,-67.64310647117748
45,-63.12865806075244
46,-62.08084464882354
47,-63.400089842257096
48,-65.03360689594292
49,-70.98268822841135
50,-78.13358060475592
51,-69.27870530196483
52,-65.55162177336206
53,-68.0725201410848
54,-67.22965598916399
55,-64.59384862700837
56,-69.21511558450132
57,-64.09840078171511
58,-63.27710443530871
59,-61.412541205601286
