,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.9956828752588
7,-99.9956828752588
8,-99.9956828752588
9,-99.9956828752588
10,-99.9956828752588
11,-99.9956828752588
12,-99.99532694283145
13,-99.46628397246164
14,-98.7871376034954
15,-95.625185257364
16,-97.45041742292001
17,-98.71123309836865
18,-84.33522166396953
19,-74.30360182280629
20,-76.35420490492145
21,-65.63610341159747
22,-66.35030963772446
23,-62.71014529342315
24,-57.632607354022774
25,-54.195860476753154
26,-49.859677117767205
27,-64.51297524727171
28,-56.870748228964864
29,-51.11294368189449
30,-56.079688208179256
31,-71.14151688317328
32,-57.884445192115045
33,-61.64746848478513
34,-54.403883049505076
35,-54.23627486292724
36,-60.32579531967454
37,-58.08611414700294
38,-55.88798754256862
39,-56.078566682238396
40,-54.630890507482256
41,-60.05785474306026
42,-62.02850967685494
43,-58.47600128618139
44,-65.78114297112525
45,-61.44228225004988
46,-58.66103094316545
47,-59.212497270388795
48,-63.30368644365909
49,-59.67873075781208
50,-58.69022869191086
51,-65.13615413331073
52,-57.32405190683556
53,-58.95440668379738
54,-59.029005707863355
55,-57.34814143052891
56,-57.06416532789883
57,-56.081531943629486
58,-53.699123152612636
59,-68.56511604085841
