,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.77680506690992
7,-99.79964779403203
8,-99.9956828752588
9,-99.9956828752588
10,-99.9956828752588
11,-99.9956828752588
12,-99.9956828752588
13,-98.90600340847908
14,-99.9956828752588
15,-99.81697216110128
16,-99.9956828752588
17,-94.3758243894734
18,-75.9363675315557
19,-96.85327086508096
20,-66.7712039252949
21,-81.7227587552752
22,-72.82972321324857
23,-62.687484669179874
24,-72.70233865979154
25,-64.35738409925497
26,-73.45181323522269
27,-65.8858175715029
28,-72.03587483962973
29,-59.17440088194481
30,-71.07329795449529
31,-58.61628029105531
32,-74.37098650631275
33,-68.1639463842116
34,-61.65816413340338
35,-63.109469538693276
36,-58.71022582616033
37,-59.62923364301917
38,-62.34367440068545
39,-64.52985658545998
40,-66.79183579477518
41,-67.83231082882898
42,-70.26945604830593
43,-62.73353075154082
44,-58.67807581599631
45,-63.93465363418763
46,-59.37241214014301
47,-64.58367934827695
48,-58.18879222822368
49,-61.919543786068004
50,-59.53515487490292
51,-67.0154669981308
52,-62.28796413367615
53,-58.988272355434226
54,-59.514248594574404
55,-59.13742149854124
56,-61.11772542615864
57,-61.95537131039889
58,-58.83471833521529
59,-57.553588101453485
