,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-92.373082845209
4,-96.59783643178942
5,-92.66718478331171
6,-86.52579457207601
7,-71.94129611739758
8,-88.89285892633904
9,-80.34707972691504
10,-71.78074755967621
11,-73.16681556451779
12,-59.9608241757361
13,-60.57002040119842
14,-54.16021227790748
15,-53.814290030988566
16,-54.33503215704715
17,-58.877938108990094
18,-55.144863562489384
19,-51.59273951735077
20,-56.93614015366316
21,-66.15300919450804
22,-65.12055348680053
23,-56.576560587518145
24,-58.062462241381716
25,-65.1862862161342
26,-54.176725235579454
27,-53.99375901776123
28,-57.24516598312428
29,-53.34045911222123
30,-55.23770657955578
31,-57.89778569843513
32,-54.058995778228955
33,-57.885764201050286
34,-58.967156762109155
35,-57.94226171614218
36,-52.533783879707904
37,-54.72491070163852
38,-50.77627028478425
39,-57.66065037118131
40,-54.06483733346471
41,-64.40231782513175
42,-62.431763875965025
43,-56.470472631773234
44,-53.0764554089329
45,-51.73085790564645
46,-55.61468778122916
47,-55.85421004159249
48,-54.332328735357265
49,-54.6922732559629
50,-59.151319690993525
51,-57.87208805966653
52,-57.13566531845414
53,-55.09937395682
54,-55.536475297052284
55,-54.92545804995332
56,-56.80837911155604
57,-58.51596900231126
58,-57.43532224537057
59,-57.7926808015433
