,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.0215852611693
3,-95.28307298547765
4,-97.40277324927494
5,-88.73737043025334
6,-86.30825679076965
7,-82.92237401303561
8,-84.96628289487177
9,-78.43393176222787
10,-70.93617345375732
11,-70.72366979694274
12,-65.76129742052501
13,-75.16770037384128
14,-75.48023023734791
15,-79.6883629146607
16,-74.50500427180583
17,-68.65757659303726
18,-62.03008009986959
19,-66.28291503913975
20,-62.118154280828776
21,-64.49427640561565
22,-71.62016062129588
23,-71.17154253338218
24,-65.35696883867706
25,-67.62157997669307
26,-64.67690364154923
27,-69.3892895074624
28,-62.74745312335559
29,-65.33024979772388
30,-69.14023454381466
31,-66.80306911779186
32,-65.41137003780337
33,-70.13976326984316
34,-76.65310458550634
35,-72.32884631917163
36,-64.49437234204689
37,-58.92241795561423
38,-61.31929935812987
39,-68.9915596614714
40,-64.24540105165937
41,-59.233589510087086
42,-58.60348780837051
43,-60.69339651334698
44,-66.8534878782842
45,-67.47888389060131
46,-57.176171558832266
47,-62.50284507112666
48,-59.76958421512914
49,-62.46824704441999
50,-56.91398693796648
51,-58.69601058439639
52,-68.2274707434388
53,-70.47616122453304
54,-71.55183912535102
55,-68.87985158006087
56,-65.84794189124051
57,-71.28555655695544
58,-65.9531387950717
59,-62.29784125291656
