,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.77358786516082
6,-95.31414607384082
7,-96.14250442562624
8,-98.57418935313814
9,-98.34410976956995
10,-93.76047797457191
11,-98.31425195948592
12,-76.92294175514775
13,-71.74788092046643
14,-74.7697792762529
15,-69.78342728006173
16,-69.1457778381125
17,-64.13378023981434
18,-68.69957584977702
19,-60.44036996063147
20,-64.44995885158414
21,-65.3686494261962
22,-67.00070474085788
23,-70.83223189788278
24,-73.70730612754251
25,-59.65177884267645
26,-66.4045980768021
27,-79.20555105554631
28,-64.40585099893924
29,-63.21985531561764
30,-63.53029379438823
31,-61.14659260304933
32,-62.279957904225945
33,-61.719365627882304
34,-68.6116672333911
35,-66.23846762401082
36,-62.56401622464922
37,-69.0935577054592
38,-62.62815162467372
39,-56.57923173266437
40,-62.76343083484751
41,-60.74186798060029
42,-63.683031979905955
43,-57.46546494419976
44,-59.55552289725779
45,-59.10581388254548
46,-56.97088927031005
47,-55.46823858815808
48,-63.83898696880219
49,-63.99674627728555
50,-68.33797143906507
51,-61.58415366772033
52,-59.94254049543926
53,-58.482532163093936
54,-55.310397807683415
55,-57.196329601027955
56,-59.16437967726688
57,-60.19582209673363
58,-61.087437879555935
59,-63.21584198901789
