,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.9956828752588
7,-99.9956828752588
8,-99.9956828752588
9,-99.74182927685324
10,-99.99291071678422
11,-98.71297238067747
12,-98.55765845586684
13,-99.9956828752588
14,-99.00837775992254
15,-88.82133297383903
16,-87.49607997616431
17,-83.24620985598767
18,-85.4752638877235
19,-67.41694614369013
20,-73.15303259167342
21,-61.66614967924709
22,-67.65287810420413
23,-64.4631944461496
24,-62.40444593340805
25,-64.4926899530026
26,-65.7420775359752
27,-64.77890773941007
28,-65.46446717520168
29,-57.5658414031532
30,-64.29978938760135
31,-60.36176534961183
32,-63.09531373347177
33,-58.73671588393046
34,-64.80492105798076
35,-66.85530544902456
36,-64.55682329259899
37,-63.0661104287369
38,-59.03900864658761
39,-64.64848657614846
40,-63.43064182691976
41,-58.26455973991567
42,-58.12292700633895
43,-66.10740671797579
44,-58.96429461866961
45,-62.87254919765591
46,-58.399053041637465
47,-57.14576155519737
48,-59.10603271200108
49,-57.91122871217368
50,-56.44827678025025
51,-57.965738720996114
52,-55.10489204386328
53,-57.92239162787875
54,-58.687123150142845
55,-56.167909891774414
56,-57.86109388708613
57,-60.52643061407383
58,-54.446395422139965
59,-58.45422346079181
