,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.96902014093288
3,-99.44468156779782
4,-98.47553328325155
5,-97.39384287504508
6,-98.78932468370574
7,-93.92168072074283
8,-95.71492640218719
9,-95.51546485833249
10,-89.39838019076849
11,-85.25122540249751
12,-78.73192723415585
13,-76.28162319298788
14,-70.49396146455187
15,-72.99299226245446
16,-70.33440386635121
17,-78.91546056293579
18,-74.85178675231433
19,-78.09220499715293
20,-65.21337903171343
21,-64.78586998740744
22,-69.69957415580762
23,-66.65429477749875
24,-65.40112626344008
25,-56.50353485337106
26,-58.973661590878784
27,-57.43462670140453
28,-69.4270804046959
29,-55.72550794816676
30,-61.26786175244959
31,-58.89804701320896
32,-68.04248314736789
33,-61.82652797510267
34,-65.96247158314662
35,-60.47599435979903
36,-60.34348741713074
37,-66.5357192310911
38,-60.08757013582456
39,-61.170387795993314
40,-56.6319707963013
41,-56.169954401026445
42,-52.33671687543031
43,-58.206191737687675
44,-56.57072644662564
45,-60.35944654484355
46,-59.20692960895678
47,-61.55259741086581
48,-63.520495585128195
49,-69.1909889439113
50,-68.19854323121508
51,-67.94927776530713
52,-65.23300546431899
53,-58.76292505179156
54,-61.824322802946554
55,-59.21568379592523
56,-60.822301412496884
57,-57.81083180487348
58,-58.78008336257976
59,-67.00234708094985
