,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-93.39203181413446
6,-97.35847412989625
7,-95.58732923642877
8,-90.77682549097217
9,-99.92827293965314
10,-96.66269017353714
11,-91.8199075347111
12,-85.8798827892456
13,-88.29931055366782
14,-67.55356859865228
15,-63.34591171878072
16,-61.043577899919626
17,-68.91210889676815
18,-64.88316293123593
19,-70.76593390897165
20,-64.04800138472882
21,-81.46578089277273
22,-69.60929119305577
23,-64.30536841011428
24,-67.80644729343965
25,-72.26135010142858
26,-72.01491231488639
27,-75.68141662985208
28,-61.76258871545016
29,-60.640780502430104
30,-61.15435697786244
31,-63.578370359084396
32,-63.851846205845185
33,-60.41545945874188
34,-58.664220831971306
35,-56.805808768141
36,-57.001870376750965
37,-60.72422985760599
38,-56.7502696015546
39,-61.722475583515525
40,-57.348325172739806
41,-58.50066077229238
42,-55.913281804474884
43,-56.24112769368985
44,-56.75865937748686
45,-55.64726958247491
46,-57.06311374448151
47,-56.42729960086372
48,-59.64858717947434
49,-56.87287608446841
50,-55.60419217853834
51,-58.8377898093758
52,-57.414957895644655
53,-60.338303745330194
54,-56.499231528994606
55,-56.65992374447216
56,-55.59231489385806
57,-62.669976122795624
58,-61.910547822072765
59,-64.90502850945455
