,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-98.29986746756067
4,-99.9956828752588
5,-99.9956828752588
6,-93.45745851647793
7,-77.5339970849399
8,-71.7825651700785
9,-79.64628354632438
10,-80.21451332872911
11,-74.05991546161094
12,-58.07974717533105
13,-99.53857241435144
14,-56.03922522386124
15,-58.05143631590964
16,-55.20686264089099
17,-56.766649211818994
18,-55.913678041642235
19,-57.666741820356926
20,-59.6257642807009
21,-60.70331896865225
22,-59.90462487999057
23,-64.58866345846299
24,-60.514762298508955
25,-60.62581759597488
26,-71.90594356241209
27,-58.46465540332054
28,-61.84438013010347
29,-62.63909046238223
30,-58.06756427867795
31,-54.83370943206049
32,-55.68596824789591
33,-55.76065633016125
34,-56.86470972672188
35,-64.1479447989761
36,-64.78590169288982
37,-60.25216626705597
38,-55.246100965346024
39,-55.478804028727154
40,-58.75505573607424
41,-66.95301470878968
42,-94.03540207662532
43,-56.4249407483235
44,-56.820966840189904
45,-53.95477781946827
46,-66.20745502090658
47,-55.492068394613376
48,-58.569492912941804
49,-53.63599859903368
50,-56.043750602072585
51,-61.293350060280574
52,-62.31030216931797
53,-59.75370167053679
54,-56.71832005051667
55,-58.529507300093854
56,-55.958934011812104
57,-67.83607544875524
58,-57.03180915390868
59,-59.84676964184798
