,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.07
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.22
26,0.16
27,0.15
28,0.01
29,0.04
30,0.24
31,0.08
32,0.32
33,0.47
34,0.12
35,0.29
36,0.0
37,0.01
38,0.0
39,0.13
40,0.0
41,0.0
42,0.02
43,0.01
44,0.03
45,0.0
46,0.5
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.01
55,0.0
56,0.07
57,0.08
58,0.0
59,0.0
