,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-97.91979312960382
6,-99.1611259160846
7,-97.0087860722537
8,-93.01254391942132
9,-90.82487941697114
10,-88.06049411465663
11,-75.13687676583983
12,-77.69780761030364
13,-75.361132849534
14,-69.4510038143847
15,-69.36052970775958
16,-70.30515130017866
17,-61.898565479365786
18,-66.13043947345928
19,-69.05467775272518
20,-66.04085238509397
21,-70.10238651893255
22,-71.70338225601293
23,-74.67170430504547
24,-77.33987684634681
25,-65.34695430113806
26,-79.39397488904368
27,-69.83230679570454
28,-65.86470487563352
29,-70.84314165336275
30,-63.75834176751796
31,-65.76539478467531
32,-59.4665631370916
33,-60.55972982359919
34,-61.394042662931305
35,-64.21808169900139
36,-59.62227906944345
37,-61.22858241731251
38,-63.571004432930785
39,-60.596332694830544
40,-59.75773646064545
41,-59.45490127978796
42,-62.87724099966584
43,-64.8794827566916
44,-72.49928672996666
45,-62.67979920122246
46,-67.67901532909156
47,-64.00419577057365
48,-58.30658099823483
49,-62.14291645439628
50,-60.670103632277495
51,-57.55352118455782
52,-60.441236515551445
53,-63.33485204805368
54,-62.082068389084164
55,-62.719759703269574
56,-67.72015668067901
57,-58.79543806411798
58,-64.80419591166512
59,-67.87083021555163
