,0
0,-99.9956828752588
1,-99.9956828752588
2,-98.85004211976899
3,-97.38261839772746
4,-97.89965906431844
5,-97.84009280231913
6,-90.27263583370112
7,-89.61701034820899
8,-89.44035908658259
9,-83.68872737023632
10,-71.13121764289735
11,-73.874626967499
12,-54.50740337588716
13,-57.3932984658598
14,-56.6014699555553
15,-56.12735963987312
16,-59.89971995733633
17,-53.285661887620506
18,-52.63853273656826
19,-51.39486910482177
20,-50.988133538872205
21,-48.41895388598551
22,-50.493784738183685
23,-47.27232042163928
24,-46.17605535488491
25,-64.7348284795555
26,-47.099150638969874
27,-46.69989974977954
28,-53.76054931995801
29,-78.74694182066439
30,-63.58050270431288
31,-50.09989545012827
32,-48.765153330008154
33,-56.12205598477987
34,-50.25358249359839
35,-47.64900857392237
36,-45.660881031317786
37,-59.47404818236321
38,-49.08575468207807
39,-45.1816806548362
40,-47.945464556412595
41,-47.71505054717477
42,-55.5113553824442
43,-46.37031793198639
44,-46.455656930791484
45,-48.098567721064384
46,-48.624414487367524
47,-51.27042605560379
48,-47.888797290640184
49,-54.36222093606982
50,-49.1655597503941
51,-49.87664901878601
52,-49.85337308915937
53,-52.004687881944285
54,-44.730364507467655
55,-49.005984558983734
56,-50.49642755139279
57,-45.903328826624275
58,-46.516106687503594
59,-46.333026988048125
