,0
0,-99.99566885510416
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.9956828752588
7,-98.78459393451178
8,-97.04329862188942
9,-92.87762631361333
10,-97.97449040098446
11,-98.10698097408816
12,-86.04814545159836
13,-92.5485463399213
14,-86.50269935701563
15,-87.88144240541979
16,-75.68004306494502
17,-85.25970338715578
18,-80.60505444377543
19,-85.12854282419391
20,-73.0980234786323
21,-78.62439712715403
22,-77.45366965623151
23,-75.72283341013036
24,-74.58945835812305
25,-76.19952409571805
26,-63.53469680062527
27,-60.77332088189006
28,-74.37667749495655
29,-64.89531509706099
30,-63.71025738955723
31,-66.09232638632515
32,-56.96358578066082
33,-51.311675439656455
34,-56.24542136715925
35,-54.359778719094464
36,-55.35963768354483
37,-53.778299456142875
38,-51.9708388586455
39,-50.73596926388245
40,-52.41838589845498
41,-49.53930345898931
42,-51.45913307483621
43,-52.540238918400576
44,-48.18585620893976
45,-45.19979707985237
46,-50.23398426523083
47,-47.28072569016474
48,-48.11073653242773
49,-46.57286095818109
50,-48.346090951419264
51,-47.79778857166973
52,-49.73168889770514
53,-50.552639111202964
54,-47.24621416836691
55,-45.94684299180457
56,-45.300124920942515
57,-46.06279384860243
58,-46.043523574171466
59,-46.12070580033644
