,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.7523450551554
4,-98.68846466196868
5,-98.28253694211962
6,-93.387628433589
7,-75.5136791984693
8,-57.985282450579035
9,-65.53313591105865
10,-62.030228441971566
11,-57.57711148220539
12,-48.94007985524745
13,-49.57335344861764
14,-50.19312298175274
15,-48.21224482977304
16,-49.41729068916359
17,-50.200350337522984
18,-49.088340958796195
19,-49.39705218993803
20,-46.13313621880635
21,-47.88792568034518
22,-49.6023600193696
23,-48.17762467991325
24,-46.942326399837114
25,-47.92495573967991
26,-46.42471794668163
27,-45.75844552924672
28,-47.742860126106315
29,-48.5137557155135
30,-47.856803811459834
31,-45.75306883264327
32,-46.35635881601872
33,-46.55763456001914
34,-46.44599130952761
35,-47.70329539309626
36,-46.5353804443122
37,-46.266509557354624
38,-44.18654258988524
39,-45.11449554849575
40,-43.425901313335416
41,-44.663429709555494
42,-47.82209475576083
43,-44.35916577756572
44,-46.13551972046736
45,-46.172469724285
46,-43.62736486465533
47,-50.56844109482219
48,-44.58233067255002
49,-45.78378057571363
50,-44.11099691764928
51,-43.503186714182014
52,-50.46838909077058
53,-45.06653812387709
54,-50.33614171655563
55,-45.510927834720775
56,-43.94640954434168
57,-44.92093153186366
58,-44.25347446282963
59,-43.326052421477314
