,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.76933766879661
3,-99.9956828752588
4,-99.79505153967719
5,-99.94779890746806
6,-99.05294109091228
7,-97.50193417418762
8,-89.91899529585702
9,-95.08761068870002
10,-90.6117836000736
11,-78.53483655160747
12,-73.88121218961554
13,-70.5216278879927
14,-75.3669680313039
15,-74.40473607369938
16,-76.68518539160519
17,-76.61264055662069
18,-70.07760499371436
19,-71.99210685228243
20,-67.7809923569909
21,-57.58647214229225
22,-57.05219273909464
23,-59.4462441629944
24,-58.84060306978926
25,-57.700446670678836
26,-61.71621492285592
27,-58.22088450036823
28,-59.96395863292452
29,-57.38688976614817
30,-54.09831457148922
31,-61.42497882458214
32,-60.041367843497554
33,-53.88986145531954
34,-52.40853128025705
35,-52.00289162620856
36,-51.2212790514456
37,-52.106931212963055
38,-53.75923134701498
39,-53.12318590030893
40,-52.090198533236396
41,-52.00601172953768
42,-50.68103881302067
43,-50.60868652376976
44,-53.55832818941733
45,-50.49550925467392
46,-56.65551633713385
47,-50.255180089610995
48,-50.60347255968134
49,-51.39962594957446
50,-48.60258877903062
51,-49.89208553959681
52,-49.48938214165462
53,-48.9105959898165
54,-52.62692117184283
55,-48.9707189949656
56,-51.12036571709053
57,-49.72681577357159
58,-49.557409817263725
59,-50.625363106337666
