,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.01
9,0.0
10,0.0
11,0.0
12,0.07
13,0.02
14,0.01
15,0.03
16,0.0
17,0.04
18,0.03
19,0.0
20,0.2
21,0.17
22,0.24
23,0.32
24,0.31
25,0.28
26,0.48
27,0.61
28,0.0
29,0.5
30,0.04
31,0.1
32,0.4
33,0.91
34,0.78
35,0.87
36,0.28
37,0.9
38,0.18
39,0.97
40,0.97
41,0.92
42,0.1
43,0.65
44,0.99
45,0.98
46,0.93
47,1.0
48,0.95
49,0.23
50,0.77
51,0.88
52,0.99
53,0.79
54,0.98
55,1.0
56,0.99
57,0.97
58,0.92
59,0.83
