,0
0,-99.99131450881345
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.99136858103115
5,-99.90607800166947
6,-99.78309998874619
7,-99.9956828752588
8,-97.37172521641614
9,-95.05748594020005
10,-96.45653850143557
11,-97.29704379139994
12,-81.31942013763633
13,-83.24753821888571
14,-73.11132632944485
15,-67.55240890870408
16,-60.75476926309025
17,-63.20460464221173
18,-56.11274627052119
19,-53.78196432310798
20,-59.730255109058504
21,-58.53947590848605
22,-56.122822087750485
23,-48.091190998766486
24,-49.274973556190865
25,-52.459329696903204
26,-53.94966750332262
27,-53.72144160853892
28,-46.905660704410074
29,-45.74395573664356
30,-46.63255120843529
31,-47.27629353708579
32,-46.549725530133536
33,-46.2765797746368
34,-44.50236309224032
35,-47.87903808076957
36,-48.443370277148496
37,-46.62352542808828
38,-46.59318271316539
39,-46.568959788220916
40,-46.537158640316356
41,-47.19579390441713
42,-46.33536202069894
43,-44.94178705978712
44,-46.10542087071553
45,-47.86958194211962
46,-48.07770032818139
47,-55.78006839776036
48,-44.785533656553135
49,-46.80300881899558
50,-50.618862004988586
51,-48.20446078845833
52,-50.01668316835684
53,-51.40157816299488
54,-52.52155095658149
55,-47.51880715084185
56,-49.70167443704599
57,-48.70585275333035
58,-46.747354079428916
59,-49.346795996717034
