,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.76300540872009
4,-98.98418669613334
5,-97.36369914133019
6,-94.65964478994505
7,-87.21204469667911
8,-83.70040930635183
9,-93.85383935889227
10,-61.348685995372335
11,-67.2035031374862
12,-62.08975393995157
13,-62.40221062976944
14,-61.52102783843923
15,-62.28512929499071
16,-61.09738063409726
17,-59.30700040993059
18,-56.14119474968077
19,-56.41690641052465
20,-57.22459316843233
21,-51.57222992981298
22,-53.69083928896316
23,-53.23134212483478
24,-54.687747674449085
25,-53.84057843459802
26,-54.1686204888283
27,-55.19423025195201
28,-52.42136909404574
29,-55.61074723401035
30,-53.5172685824362
31,-51.28427192679416
32,-54.456491486868714
33,-53.83394307648885
34,-54.74609211129436
35,-55.59215145360097
36,-51.68649770978403
37,-51.791137150703804
38,-52.311909636356994
39,-50.62813900625578
40,-51.4475247806437
41,-52.278619972341765
42,-55.119325824518825
43,-54.78925286639754
44,-53.56643678074528
45,-53.21463386479481
46,-50.98115744914539
47,-52.268367257691196
48,-50.03937982703633
49,-50.78600793858979
50,-50.471832215930846
51,-50.924702925933985
52,-51.60633619344999
53,-52.31886589758049
54,-50.58562791819537
55,-50.27949623489398
56,-50.86288018064546
57,-53.73708212022068
58,-51.17954027142766
59,-51.19040439037153
