,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.99550156707585
7,-99.9956828752588
8,-99.9956828752588
9,-99.99559802181302
10,-99.9956828752588
11,-99.8815771068435
12,-99.99539015720737
13,-99.9956828752588
14,-99.9956828752588
15,-99.9956828752588
16,-99.9956828752588
17,-99.9956828752588
18,-99.9956828752588
19,-99.9956828752588
20,-99.9956828752588
21,-99.9956828752588
22,-99.9956828752588
23,-99.66292840385462
24,-99.70403194796747
25,-99.9956828752588
26,-95.50066092402139
27,-99.26244536825497
28,-86.74351938139996
29,-91.75905979655609
30,-88.13067778273268
31,-98.56401912500027
32,-70.58280388960004
33,-67.16365144348325
34,-58.563244940846005
35,-61.97421258003638
36,-70.55369931780561
37,-62.248834652705845
38,-60.44574944392548
39,-57.3693118435564
40,-59.53708208567955
41,-58.715510746316966
42,-55.51081512752288
43,-54.03046427728818
44,-54.116484173027345
45,-55.968644158882995
46,-51.84815912231619
47,-54.02899734598567
48,-52.79351242210776
49,-52.283788453045666
50,-50.658065134172624
51,-51.137236756280984
52,-59.188950236126544
53,-52.5614400938434
54,-51.91884037835939
55,-51.023223252220845
56,-50.79217399527823
57,-52.38417161507234
58,-51.49150550572439
59,-52.17090892662391
