,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.87985499093494
3,-99.85579616791615
4,-99.9956828752588
5,-94.00044875586205
6,-98.18897296219808
7,-92.73034023548267
8,-84.5957410849213
9,-83.8194263409416
10,-65.64922435836
11,-64.60785617442153
12,-66.4028379659458
13,-55.53390812386976
14,-55.08522724372155
15,-56.058584756411065
16,-55.2560129676051
17,-61.497131057571636
18,-57.86824558751848
19,-49.20525012944997
20,-53.273571508862396
21,-59.51700212516831
22,-54.20870713607554
23,-51.85529471597999
24,-52.07672165251824
25,-50.415319053402236
26,-48.46070675196195
27,-46.73421512454293
28,-46.6923153631033
29,-45.69193943979869
30,-47.0277875129413
31,-55.531425148327834
32,-50.57965992731209
33,-50.37138281392059
34,-47.41045112826669
35,-50.971646779399215
36,-47.018247247388565
37,-47.82970303896585
38,-53.73819726398269
39,-62.325312716389725
40,-51.46011405034723
41,-50.43271892036269
42,-53.69433562014799
43,-59.74106985460247
44,-51.42862335623275
45,-50.34924223162527
46,-47.79220274652522
47,-47.55578568927109
48,-47.13223065065502
49,-47.60409627943311
50,-48.22895433788176
51,-49.54887426240489
52,-46.54389224466513
53,-48.168195413264854
54,-47.26781157169409
55,-49.68118743238235
56,-46.39725876971459
57,-46.97666313435529
58,-46.02113614254749
59,-49.51993057091837
