,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.95283652819026
7,-99.99167658452473
8,-99.9956828752588
9,-99.9956828752588
10,-97.92277974974985
11,-95.65246106287194
12,-96.00681781373082
13,-84.97249267705553
14,-77.9679614352325
15,-94.464221603378
16,-97.57019093554973
17,-69.75786925777246
18,-72.70196676013937
19,-73.6892202496004
20,-63.660299163312665
21,-61.88048527252102
22,-67.61186370532366
23,-65.63272083779489
24,-62.13851301122902
25,-58.76140607317916
26,-58.89934044192066
27,-60.01910838113787
28,-61.96526026559988
29,-60.32325273470824
30,-57.56325119000181
31,-56.465011618328646
32,-57.27713276139002
33,-55.9418251891007
34,-56.28437935729204
35,-53.57284404307123
36,-53.547570801292515
37,-55.95333214521272
38,-52.95004960457248
39,-54.169336376287355
40,-51.19978694065197
41,-54.984160527526264
42,-55.91684125722859
43,-56.66038881428458
44,-54.45892754666984
45,-55.78639216795616
46,-59.05362966478651
47,-55.010397278860594
48,-51.42893475898023
49,-51.792990727915814
50,-59.16258001851979
51,-55.16755632031473
52,-53.646357759272604
53,-62.22027583243474
54,-50.98783041516801
55,-57.593635803603874
56,-51.67318853479693
57,-51.77477948571002
58,-52.619425115326315
59,-57.359535531160134
