,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9956828752588
6,-99.9956828752588
7,-99.83546837149429
8,-99.0269112985823
9,-98.97590204179662
10,-99.76561516214336
11,-99.81985733729235
12,-97.59344408883653
13,-97.39935271745959
14,-96.5309857969743
15,-89.51518707559029
16,-88.42130772335017
17,-83.2540691675549
18,-76.33547850158598
19,-66.92509604682418
20,-53.841825016111095
21,-55.348439443849465
22,-52.41053672437952
23,-55.08620731381319
24,-55.22735500957771
25,-55.48311296718045
26,-55.774218855872874
27,-53.42431414738625
28,-49.94880249582511
29,-50.87632404919146
30,-52.16087488868968
31,-47.09730024248246
32,-49.333091153135705
33,-50.577771466316925
34,-46.63624580224037
35,-47.07246582531626
36,-45.423611574342715
37,-48.2089662661858
38,-46.95872176498342
39,-47.13554378496342
40,-50.83412468294107
41,-49.89183401001176
42,-52.92084452882585
43,-49.559019499519025
44,-51.37584490677064
45,-57.82047383008207
46,-60.937430955663615
47,-58.22643768534266
48,-54.94107007164056
49,-51.5630375768464
50,-47.87927343538396
51,-47.41857131206783
52,-49.43661122365324
53,-48.10835353371149
54,-49.01251536476636
55,-48.36041945584832
56,-46.87674382343446
57,-46.99196856136169
58,-50.93216662719549
59,-49.52789819948552
