,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.99087734032334
6,-99.94429123769365
7,-99.89409754201436
8,-99.61401623834386
9,-99.82251490985301
10,-99.84704832333514
11,-99.99550379416371
12,-99.93026329952905
13,-96.43599808375879
14,-98.38715884396875
15,-90.1215891269882
16,-83.04022998360342
17,-80.78238455579421
18,-73.49004617618716
19,-78.37702271612591
20,-78.05900889984368
21,-68.71861886749299
22,-63.61415170484342
23,-63.110845459009745
24,-59.39408774900413
25,-71.35281773089473
26,-85.09289161698683
27,-59.668652240922064
28,-60.499181572711
29,-57.877659458482995
30,-57.52795644212996
31,-56.01809181783214
32,-57.61850141966531
33,-55.69008745922319
34,-58.64463675332337
35,-57.17213219186933
36,-59.42121130729629
37,-55.30673075517822
38,-61.6990962095069
39,-61.39356889299127
40,-55.06205325869624
41,-53.77396881570462
42,-56.33649358998321
43,-54.6808709498628
44,-55.46814993360947
45,-57.593578881041424
46,-57.66057206257524
47,-53.96448167253958
48,-53.41102363084544
49,-53.316787394717295
50,-51.64004874409571
51,-55.69288453481823
52,-55.59426618463112
53,-55.125402425734734
54,-56.10300724766665
55,-53.59467970965521
56,-52.938018415479654
57,-56.028737819385285
58,-56.646006810805645
59,-59.487833622344986
