,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-99.9956828752588
4,-99.9956828752588
5,-99.9286959574498
6,-99.9956828752588
7,-99.99154237205931
8,-99.99553440841152
9,-99.9956828752588
10,-99.9956828752588
11,-92.95292986818168
12,-79.85922868140783
13,-91.77509109209261
14,-90.49513018928619
15,-72.48885142411007
16,-71.23335070062728
17,-60.71534935149778
18,-67.6611034398775
19,-63.04945234248366
20,-56.307312093445844
21,-53.272590614544754
22,-50.212737791845704
23,-48.53855396332041
24,-48.73437398958614
25,-50.01750561371423
26,-49.68244608197763
27,-48.105852193473666
28,-45.371073315093305
29,-44.90276222051363
30,-45.48808107299421
31,-45.460568995568266
32,-45.32922213160402
33,-46.71452873415099
34,-55.67167345919959
35,-61.747384056287814
36,-48.97014594558618
37,-46.52191131434831
38,-46.67533159265989
39,-47.17481288355218
40,-64.58297663689291
41,-53.847798015777656
42,-47.72375795319048
43,-45.24949808568375
44,-46.408131443721594
45,-47.05799391132006
46,-49.66204577985819
47,-45.67618648137957
48,-45.95800158992106
49,-54.53482822899247
50,-46.30568069322407
51,-44.99956700654496
52,-44.65044822667635
53,-43.778028135579206
54,-44.66066244574731
55,-46.47826033830523
56,-45.86503572595181
57,-45.353642632817234
58,-54.74676458760035
59,-44.88884112045195
