,0
0,-99.9956828752588
1,-99.98771847237681
2,-98.10579810197856
3,-98.61287632556035
4,-98.9596228622678
5,-87.92020564373648
6,-92.40227390611842
7,-79.81441039472915
8,-61.16606336954239
9,-66.99176429664703
10,-64.4144983648986
11,-52.02980384021732
12,-52.400371895867046
13,-58.88830772739074
14,-54.492685003702135
15,-53.72061154141257
16,-58.06739643767583
17,-52.87920955268707
18,-63.983935717166766
19,-54.09794598859733
20,-49.49220169143886
21,-47.54105775499744
22,-53.83892681423175
23,-51.70662515874643
24,-58.05650861924047
25,-49.402225199286576
26,-48.38570292067565
27,-46.34440307496073
28,-45.708677304352044
29,-49.41983218796533
30,-46.518290984913044
31,-50.7694481549964
32,-48.66419900908837
33,-51.77413763212478
34,-57.24072399324128
35,-49.92614184810668
36,-54.996735547332854
37,-47.36916605069504
38,-65.19729950182655
39,-47.47418619747245
40,-49.99314901118409
41,-47.42206776393148
42,-46.25949505441763
43,-49.253963686138206
44,-47.10108709121735
45,-51.22852691307665
46,-46.260172651038374
47,-57.556782294384426
48,-46.171764138117624
49,-51.134127991781604
50,-48.32377983601221
51,-48.75641790869791
52,-61.897708466399244
53,-46.618289993374226
54,-54.00438634057216
55,-48.94800708719699
56,-51.520151151000846
57,-45.67973228503038
58,-44.53834357106436
59,-46.6775345541274
