,0
0,-99.9956828752588
1,-99.9956828752588
2,-99.9956828752588
3,-96.54777091838038
4,-97.46458017434016
5,-99.41954028752572
6,-96.88575185658276
7,-97.50583029753948
8,-88.45200092609377
9,-88.89975631280116
10,-77.41700831351264
11,-82.84010963889308
12,-64.37255538098336
13,-62.70504121947212
14,-57.52510780675639
15,-64.78760595850264
16,-70.46647927760375
17,-62.34239989308975
18,-59.73244177643005
19,-59.77687063612993
20,-59.93312507029427
21,-61.59742241670483
22,-58.1569497490306
23,-69.72752972923712
24,-58.721705176249124
25,-58.77790076630713
26,-55.70319331192618
27,-58.42832244656152
28,-61.84291349548789
29,-60.29245075242411
30,-54.75840362664354
31,-55.43990780414829
32,-70.82866426825349
33,-62.168702338494484
34,-61.41807383884224
35,-59.43714576906437
36,-62.13846952538256
37,-57.7976372003746
38,-53.965518873482026
39,-54.56139968503234
40,-56.039549104547284
41,-54.537456947450465
42,-72.70676963568778
43,-86.32037487553409
44,-56.484168230040474
45,-57.054210693121796
46,-54.189647104376554
47,-55.987405997285215
48,-53.43464220696277
49,-54.55044420798263
50,-52.05295744758107
51,-60.465840694986085
52,-61.46042810961089
53,-50.927433249010804
54,-52.0553817382673
55,-51.21020883727809
56,-59.06782174727595
57,-57.676676924950385
58,-53.89283696154412
59,-57.043920949541295
